iso3,annee,credit_prive_pib_fd
BEN,2024,18.9520954406221
BEN,2023,18.5840434356383
BEN,2022,17.071859597402
BEN,2021,15.5501996992846
BEN,2020,15.4928446985846
BEN,2019,17.5628620818268
BEN,2018,16.6961161674935
BEN,2017,16.5182924682544
BEN,2016,17.3950894740495
BEN,2015,16.641873979786
BEN,2014,16.6324823817262
BEN,2013,16.3473476217105
BEN,2012,15.5338978423749
BEN,2011,16.4522633117944
BEN,2010,15.7273978909034
BEN,2009,15.0218313468171
BEN,2008,12.6767665470178
BEN,2007,12.240878394152
BEN,2006,10.2786481382923
BEN,2005,8.9796439255499
BEN,2004,7.74454815173355
BEN,2003,7.67128464773375
BEN,2002,4.83318968885771
BEN,2001,5.13608000150078
BEN,2000,7.76142973832025
BFA,2024,27.1070619834111
BFA,2023,31.8584955295831
BFA,2022,31.602027766764
BFA,2021,29.4371711748254
BFA,2020,28.6298399504277
BFA,2019,28.3014161860872
BFA,2018,27.1040907057164
BFA,2017,27.3717236042485
BFA,2016,25.7622388013292
BFA,2015,24.986758355322
BFA,2014,23.3588661995454
BFA,2013,20.76993909461
BFA,2012,16.5866617887841
BFA,2011,15.3143337473993
BFA,2010,15.5841353281323
BFA,2009,16.0241588369275
BFA,2008,15.0365577916506
BFA,2007,12.7263840044823
BFA,2006,14.6096993029702
BFA,2005,13.2253323363812
BFA,2004,12.8697766194306
BFA,2003,11.3534781382915
BFA,2002,8.85871385120768
BFA,2001,9.70866810828925
BFA,2000,10.3212464016435
CIV,2024,22.5025975089185
CIV,2023,21.8868593238043
CIV,2022,20.8362817255441
CIV,2021,20.9766531500506
CIV,2020,20.5471450288674
CIV,2019,19.0215394142113
CIV,2018,19.2459489837954
CIV,2017,19.2182833005382
CIV,2016,17.5694708681171
CIV,2015,16.6488785871593
CIV,2014,14.6214562278233
CIV,2013,14.2646082900584
CIV,2012,13.6279071426429
CIV,2011,13.1270231220567
CIV,2010,13.0404983292352
CIV,2009,12.6406732853149
CIV,2008,11.9746644502895
CIV,2007,12.0977862667159
CIV,2006,10.0946699457158
CIV,2005,8.79759882844193
CIV,2004,9.42657315994687
CIV,2003,9.02565648575844
CIV,2002,9.6415452046667
CIV,2001,9.44431281617056
CIV,2000,9.65021708020917
GNB,2024,10.2633782935143
GNB,2023,11.9254640426547
GNB,2022,14.1890421240675
GNB,2021,12.9008025466185
GNB,2020,13.1557002324071
GNB,2019,12.8516950698662
GNB,2018,13.3810142741631
GNB,2017,11.3313184147419
GNB,2016,6.59833266703753
GNB,2015,7.36628993097851
GNB,2014,12.9296436123911
GNB,2013,11.4444033900398
GNB,2012,11.7472543708784
GNB,2011,8.18473465711664
GNB,2010,6.08494332755251
GNB,2009,4.13116498382108
GNB,2008,4.87200682939956
GNB,2007,2.97791219699825
GNB,2006,1.93000128625778
GNB,2005,1.23328233651042
GNB,2004,0.854261390547114
GNB,2003,0.636901086326267
GNB,2002,1.30037297900797
GNB,2001,0.383077011985722
GNB,2000,4.36120784367581
MLI,2024,22.3328384072033
MLI,2023,23.166619344734
MLI,2022,24.7212425787025
MLI,2021,23.7090520643006
MLI,2020,21.8796652823339
MLI,2019,20.6270206061087
MLI,2018,21.4013860802582
MLI,2017,21.7304188333545
MLI,2016,22.0860093352445
MLI,2015,20.9648892149436
MLI,2014,18.5032327257688
MLI,2013,17.5191430128193
MLI,2012,16.3823917080326
MLI,2011,15.415210810397
MLI,2010,15.0798638216314
MLI,2009,13.7912753422848
MLI,2008,10.1704652855851
MLI,2007,13.580581670271
MLI,2006,12.9062928930679
MLI,2005,12.3694968218413
MLI,2004,14.2076115548464
MLI,2003,12.5151014115488
MLI,2002,12.3280236917352
MLI,2001,11.3511945888746
MLI,2000,11.3402873869805
NER,2024,10.1648326381361
NER,2023,11.0277550712195
NER,2022,12.4513772548831
NER,2021,12.9760915316451
NER,2020,11.6436129846815
NER,2019,11.1572856243176
NER,2018,10.1401779735082
NER,2017,11.3455886301417
NER,2016,11.403653905726
NER,2015,11.1915754036383
NER,2014,10.591861600512
NER,2013,10.3708721475998
NER,2012,9.87470605270124
NER,2011,9.80393612250766
NER,2010,8.95485994109138
NER,2009,8.80543051763462
NER,2008,7.96971598336486
NER,2007,6.98108416505114
NER,2006,3.75490005771391
NER,2005,3.83004643374529
NER,2004,4.34387912472178
NER,2003,4.57236406552387
NER,2002,4.41414054012241
NER,2001,5.9177826876629
NER,2000,3.85940427520443
SEN,2024,29.2050411167482
SEN,2023,31.424574689736
SEN,2022,32.1588081054012
SEN,2021,29.8741461881006
SEN,2020,29.2744602823629
SEN,2019,29.4823564124215
SEN,2018,29.5129862796912
SEN,2017,29.6227584275126
SEN,2016,27.7533476983056
SEN,2015,27.2536689201892
SEN,2014,27.2652958307241
SEN,2013,26.2579679970401
SEN,2012,24.3761796394019
SEN,2011,23.8192161930511
SEN,2010,21.2716793740363
SEN,2009,19.3693902783736
SEN,2008,18.8166232238377
