iso3,annee,wgi_controle_corruption,wgi_efficacite_gouvernement,wgi_stabilite_politique,wgi_etat_droit,wgi_qualite_reglementaire
MLI,2013,-0.599550199999999,-0.8529578,-1.6463052,-0.822118999999999,-0.6307686
MLI,2014,-0.6426253,-1.0499743,-1.59000419999999,-0.7038046,-0.6481828
MLI,2015,-0.6307364,-0.938338399999999,-1.5535933,-0.7521911,-0.5110576
MLI,2016,-0.6456428,-0.929613999999999,-1.5338819,-0.7584401,-0.561468899999999
MLI,2017,-0.706974099999999,-0.871987899999999,-1.71864139999999,-0.7545362,-0.5653398
MLI,2018,-0.744831199999999,-0.9789893,-1.87828559999999,-0.7515531,-0.6149817
MLI,2019,-0.7719638,-1.0954319,-2.05500729999999,-0.8086867,-0.6559592
MLI,2020,-0.7753949,-1.12240539999999,-2.0594968,-0.8335984,-0.7294119
MLI,2021,-0.896400299999999,-1.1810763,-2.3319481,-0.882688199999999,-0.6697155
MLI,2022,-0.8528176,-1.20601619999999,-2.4680844,-1.0213887,-0.7107857
MLI,2023,-0.849355899999999,-1.2258828,-2.5578431,-1.0366418,-0.7441068
MLI,2024,-0.9808589,-1.2871409,-2.49096199999999,-1.0943496,-0.7622873
NER,2000,-0.9976217,-1.3111633,-0.3813939,-0.895342,-0.869344399999999
NER,2002,-1.0018861,-1.0453991,-0.5421073,-0.8025618,-0.894995099999999
NER,2003,-1.0033408,-1.0520881,-0.245825799999999,-0.803658099999999,-0.8949669
NER,2004,-0.8820479,-0.8354534,-0.4852167,-0.6771649,-0.912034599999999
NER,2005,-0.7805882,-0.7441785,-0.4096853,-0.6483549,-0.7243621
NER,2006,-0.772062999999999,-0.806225299999999,-0.1317713,-0.6245355,-0.632773799999999
NER,2007,-0.6805262,-0.818000499999999,-0.3573665,-0.6328629,-0.591423199999999
NER,2008,-0.5497619,-0.745134299999999,-0.5913305,-0.6759696,-0.5745441
NER,2009,-0.632288699999999,-0.6827442,-0.9211855,-0.642442499999999,-0.523589699999999
NER,2010,-0.6019841,-0.7350007,-1.0817352,-0.6195252,-0.5069873
NER,2011,-0.511074399999999,-0.695647,-0.758722799999999,-0.5181874,-0.5324314
NER,2012,-0.435072099999999,-0.5898721,-0.883146299999999,-0.6902391,-0.7242274
NER,2013,-0.374697,-0.6374806,-0.934017,-0.7158576,-0.724202
NER,2014,-0.4434815,-0.5887916,-0.9806619,-0.6904258,-0.746923
NER,2015,-0.4307116,-0.5908565,-0.7994889,-0.5809198,-0.7183876
NER,2016,-0.4203841,-0.566043699999999,-0.944319999999999,-0.5704113,-0.6537562
NER,2017,-0.4352048,-0.654903,-1.0412801,-0.5600199,-0.639687999999999
NER,2018,-0.4471908,-0.6127385,-1.1906754,-0.5744578,-0.6639231
NER,2019,-0.438836799999999,-0.6646514,-1.19014889999999,-0.5391518,-0.6452363
NER,2020,-0.529990899999999,-0.657380699999999,-1.502479,-0.5192429,-0.749712199999999
NER,2021,-0.5632509,-0.639504699999999,-1.4793091,-0.598975199999999,-0.694466399999999
NER,2022,-0.5631731,-0.644957,-1.299076,-0.665473,-0.6740254
NER,2023,-0.517433,-0.611528899999999,-1.65337929999999,-0.804084799999999,-0.7280992
NER,2024,-0.6169138,-0.7696662,-1.7634214,-0.9457241,-0.7624578
SEN,2000,0.1512895,-0.5762275,-0.5885307,-0.0454952,-0.1420157
SEN,2002,0.3635809,-0.5402625,-0.481927699999999,0.0311348,-0.0990321
SEN,2003,-0.164649799999999,-0.753493499999999,-0.4774697,-0.1818951,-0.2573671
SEN,2004,-0.153957899999999,-0.6247635,-0.198026099999999,-0.1369852,-0.384681599999999
SEN,2005,-0.184227299999999,-0.5398674,-0.2606176,-0.0277204,-0.3173221
SEN,2006,-0.2938212,-0.5239389,-0.2918745,-0.2240603,-0.4059009
SEN,2007,-0.366259699999999,-0.443419599999999,-0.213430999999999,-0.177297099999999,-0.4223972
SEN,2008,-0.373044899999999,-0.268235,-0.1839308,-0.218077499999999,-0.3152857
SEN,2009,-0.4445787,-0.341082999999999,-0.0273215,-0.2903716,-0.364481
SEN,2010,-0.5598176,-0.2855436,-0.432497199999999,-0.3419317,-0.3780439
SEN,2011,-0.3719629,-0.250523,-0.333963,-0.3452903,-0.326021499999999
SEN,2012,-0.2609003,-0.239959999999999,-0.1570391,-0.2019456,-0.246143
SEN,2013,-0.221789899999999,-0.1805346,-0.0972566,-0.2085281,-0.2291162
SEN,2014,0.03561,-0.1242113,-0.0890915999999999,-0.1359198,-0.2657641
SEN,2015,0.0806390999999999,-0.1627129,-0.0746024,-0.1373394,-0.1568485
SEN,2016,0.0315258,-0.184756,-0.222101599999999,-0.0666168,-0.1640727
SEN,2017,-0.0177432,-0.029733,-0.1422197,-0.129583199999999,-0.187129699999999
SEN,2018,0.0271111,-0.0860240999999999,-0.1420966,-0.1376841,-0.2225558
SEN,2019,-0.000328699999999999,0.1244277,0.0630715999999999,-0.111789,-0.2066424
SEN,2020,-0.0155587,0.0852361,-0.0271012,-0.0993883,-0.2418203
SEN,2021,0.0360917,0.1309278,-0.1040585,-0.1485159,-0.2406738
SEN,2022,0.0169424,0.1203621,-0.2028622,-0.1356248,-0.251317299999999
SEN,2023,0.0381077,0.1516215,-0.1534325,-0.170334799999999,-0.2661232
SEN,2024,0.1130413,0.2344127,-0.228555999999999,-0.2046739,-0.241644499999999
TGO,2000,-0.7671465,-1.3577285,-0.434510599999999,-0.8349112,-1.0852192
TGO,2002,-0.901118099999999,-1.6490728,-0.237538399999999,-1.0546299,-1.016575
TGO,2003,-0.9025728,-1.65576179999999,-0.5357911,-1.19112249999999,-1.0165468
TGO,2004,-0.9227871,-1.5516729,-0.6772941,-1.0433959,-1.2220261
TGO,2005,-0.9351421,-1.7107333,-1.8551464,-1.15802199999999,-1.1648758
TGO,2006,-1.0720376,-1.5805805,-0.935167699999999,-0.98252,-0.958902799999999
TGO,2007,-1.0360718,-1.5533698,-0.560980599999999,-0.992190399999999,-1.03394189999999
TGO,2008,-1.0401869,-1.50080219999999,-0.3522146,-0.862322599999999,-0.9804423
TGO,2009,-1.0333147,-1.4472257,-0.4185216,-0.8832441,-0.912534699999999
TGO,2010,-0.786170199999999,-1.3557662,-0.3792993,-0.838355,-0.863848
TGO,2011,-0.8497363,-1.3539094,-0.3850113,-0.7898362,-1.01272
TGO,2012,-0.818918399999999,-1.2258191,-0.6511156,-0.9141876,-0.8808248
TGO,2013,-0.8443157,-1.25800769999999,-0.5059279,-0.9870469,-1.0187994
TGO,2014,-0.791632799999999,-1.0881788,-0.3001357,-0.9065907,-0.82983
TGO,2015,-0.6308001,-1.08847729999999,-0.411126999999999,-0.8151079,-0.8003889
TGO,2016,-0.6534352,-0.9579705,-0.280199,-0.799414499999999,-0.7851347
TGO,2017,-0.7306167,-0.9832841,-0.835878399999999,-0.8070668,-0.7773372
TGO,2018,-0.7549576,-0.940523999999999,-0.8728328,-0.694814199999999,-0.682690199999999
TGO,2019,-0.7066703,-0.832004499999999,-0.8504632,-0.7029591,-0.6211637
TGO,2020,-0.644805899999999,-0.882900199999999,-0.8075061,-0.6160719,-0.4899887
TGO,2021,-0.6519768,-0.877012599999999,-0.6682329,-0.6328001,-0.4817275
TGO,2022,-0.630985799999999,-0.9684392,-0.760395399999999,-0.675356699999999,-0.4208338
TGO,2023,-0.5879504,-0.917685499999999,-0.9186036,-0.6302782,-0.4042671
TGO,2024,-0.6633762,-0.8014589,-0.8094466,-0.632861,-0.408113499999999
